Document Name,Attribute,Title,Expectations
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Leverages cross-functional knowledge and experience to implement best practices that drive continuous improvement across department and/or firm.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Creates a shared awareness of and responds to market and industry trends that may have a material impact on the firm to ensure ConfidentialCompany is positioned ahead of competitors.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Viewed as a thought leader across Investor Services Investor Relations and/or the firm.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Sets and communicates department’s vision and strategy that is understood and adopted by key stakeholders.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Sets and cascades department’s annual goals that align to firm objectives.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Partners with other segment/department leaders in setting and executing future strategic direction to ensure alignment.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Works with and challenges business area managers to build a culture of relentless determination to deliver value for the firm and to recognize and reward the achievements of their department.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Proactively identifies and mitigates key risks to reduce the department and firm’s exposure.
Investor Relations All Titles,Strive to excel,MANAGING DIRECTOR,Seeks opportunities to ensure department’s employees adhere to ConfidentialCompany’s values and policies at all times.
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Leverages position and voice to influence internal and external business leaders/networks to generate value for the firm as a whole not just their department.
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Makes decision on staffing department and/or firmwide initiatives.
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Maintains productive trust-based relationships with senior leaders across the firm.
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Effectively leverages all available resources to drive change with firmwide impact.
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Develops shared long-term goals with other funds/departments to cultivate deeper lateral working relationships and works as one to drive long-term value creation.
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Leads and acts as a trusted advisor for internal and/or external stakeholders and firmwide initiatives (e.g. committees commitments recruiting marketing temporarily leading/mentoring another dept or fund etc.).
Investor Relations All Titles,Delivery to the firm,MANAGING DIRECTOR,Promotes the firm's strengths vision and strategy.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Initiates and oversees large scale strategic change to optimize the performance of the department and firm.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Viewed as culture carrier across the firm who champions new ways of working and idea sharing from people at all levels.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Makes difficult decisions which may include role eliminations and reorgs.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Creates a safe environment for others to debate challenge and suggest new ideas or ways of working.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Demonstrates openness to both hearing and adopting divergent ideas.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Makes effective decisions with confidence and speed weighing benefits and risks.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Pushes decision-making to the lowest appropriate level.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Acts as a trusted advisor to help department and firm address large scale risks and take swift corrective actions to minimize future exposure.
Investor Relations All Titles,Challenge the status quo,MANAGING DIRECTOR,Moves with speed to make changes when circumstances require it.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Uses position and voice to highlight why diversity equity and inclusion are important to success.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Builds an inclusive culture by soliciting diverse internal and external perspectives.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Creates a strategy to foster diversity equity and inclusion in department.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Sets and reviews key diversity equity and inclusion metrics on regular basis and holds team leaders accountable for progress.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Cultivates and maintains an internal and external professional network with people from different backgrounds and experiences.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Establishes practices to ensure qualified diverse candidates are referred to ConfidentialCompany and creates the conditions where all colleagues can excel.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Broadens recruitment searches to capture more diverse candidates and encourages others to follow suit.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Demonstrates through the composition of their team that people of all backgrounds can lead and succeed at ConfidentialCompany.
Investor Relations All Titles,Leverage diverse perspective,MANAGING DIRECTOR,Sponsors at least one individual with a different background/experience.
